iter	Passed	Remaining
708	5469	2244
709	5475	2236
710	5482	2228
711	5489	2220
712	5495	2212
713	5502	2204
714	5509	2196
715	5516	2188
716	5522	2179
717	5529	2171
718	5537	2164
719	5543	2155
720	5550	2147
721	5556	2139
722	5563	2131
723	5569	2123
724	5576	2115
725	5583	2107
726	5589	2098
727	5596	2091
728	5604	2083
729	5610	2074
730	5618	2067
731	5624	2059
732	5631	2051
733	5637	2042
734	5643	2034
735	5651	2027
736	5657	2018
737	5665	2011
738	5672	2003
739	5680	1995
740	5686	1987
741	5693	1979
742	5699	1971
743	5705	1963
744	5712	1955
745	5718	1947
746	5730	1940
747	5736	1932
748	5743	1924
749	5749	1916
750	5756	1908
751	5765	1901
752	5771	1893
753	5777	1884
754	5784	1877
755	5791	1869
756	5797	1861
757	5803	1852
758	5809	1844
759	5816	1836
760	5824	1829
761	5832	1821
762	5838	1813
763	5844	1805
764	5852	1797
765	5862	1790
766	5869	1783
767	5875	1774
768	5882	1767
769	5888	1759
770	5895	1750
771	5902	1743
772	5907	1734
773	5915	1727
774	5921	1719
775	5928	1711
776	5934	1703
777	5940	1695
778	5948	1687
779	5954	1679
780	5960	1671
781	5967	1663
782	5973	1655
783	5984	1648
784	5991	1640
785	5998	1633
786	6004	1625
787	6012	1617
788	6018	1609
789	6025	1601
790	6032	1594
791	6038	1585
792	6047	1578
793	6053	1570
794	6059	1562
795	6066	1554
796	6073	1546
797	6079	1538
798	6085	1530
799	6092	1523
800	6098	1515
801	6108	1508
802	6114	1500
803	6120	1492
804	6128	1484
805	6136	1477
806	6150	1470
807	6156	1462
808	6163	1455
809	6170	1447
810	6176	1439
811	6183	1431
812	6190	1423
813	6196	1415
814	6204	1408
815	6211	1400
816	6218	1392
817	6226	1385
818	6233	1377
819	6239	1369
820	6246	1361
821	6252	1354
822	6259	1346
823	6266	1338
824	6272	1330
825	6279	1322
826	6285	1314
827	6295	1307
828	6302	1300
829	6308	1292
830	6317	1284
831	6325	1277
832	6333	1269
833	6340	1262
834	6348	1254
835	6358	1247
836	6364	1239
837	6371	1231
838	6377	1223
839	6384	1216
840	6390	1208
841	6397	1200
842	6403	1192
843	6410	1184
844	6415	1176
845	6426	1169
846	6432	1161
847	6440	1154
848	6446	1146
849	6454	1138
850	6460	1131
851	6466	1123
852	6473	1115
853	6479	1107
854	6489	1100
855	6495	1092
856	6502	1085
857	6509	1077
858	6515	1069
859	6522	1061
860	6528	1053
861	6535	1046
862	6542	1038
863	6548	1030
864	6556	1023
865	6562	1015
866	6568	1007
867	6575	1000
868	6581	992
869	6588	984
870	6594	976
871	6601	969
872	6612	961
873	6618	954
874	6626	946
875	6632	938
876	6638	931
877	6645	923
878	6652	915
879	6658	907
880	6664	900
881	6671	892
882	6679	885
883	6686	877
884	6692	869
885	6699	862
886	6706	854
887	6712	846
888	6719	838
889	6726	831
890	6733	823
891	6743	816
892	6750	808
893	6756	801
894	6763	793
895	6769	785
896	6775	778
897	6782	770
898	6788	762
899	6795	755
900	6802	747
901	6809	739
902	6814	732
903	6822	724
904	6828	716
905	6836	709
906	6842	701
907	6849	693
908	6864	687
909	6872	679
910	6879	672
911	6886	664
912	6893	656
913	6900	649
914	6907	641
915	6914	634
916	6921	626
917	6927	618
918	6936	611
919	6942	603
920	6949	596
921	6955	588
922	6981	582
923	6988	574
924	6996	567
925	7005	559
926	7012	552
927	7019	544
928	7030	537
929	7041	529
930	7059	523
931	7075	516
932	7081	508
933	7091	501
934	7098	493
935	7108	486
936	7118	478
937	7128	471
938	7137	463
939	7144	456
940	7156	448
941	7164	441
942	7173	433
943	7186	426
944	7194	418
945	7203	411
946	7209	403
947	7224	396
948	7231	388
949	7240	381
950	7246	373
951	7258	365
952	7267	358
953	7274	350
954	7286	343
955	7292	335
956	7305	328
957	7314	320
958	7335	313
959	7342	305
960	7351	298
961	7361	290
962	7367	283
963	7374	275
964	7385	267
965	7394	260
966	7403	252
967	7410	244
968	7417	237
969	7423	229
970	7435	222
971	7442	214
972	7451	206
973	7460	199
974	7469	191
975	7479	183
976	7489	176
977	7496	168
978	7506	161
979	7518	153
980	7528	145
981	7538	138
982	7547	130
983	7555	122
984	7567	115
985	7575	107
986	7585	99
987	7591	92
988	7602	84
989	7609	76
990	7617	69
991	7625	61
992	7635	53
993	7644	46
994	7654	38
995	7661	30
996	7670	23
997	7682	15
998	7694	7
999	7701	0
